timestamp_ms,label,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
3298436,sitting,-0.0259,0.9997,0.0351,0.5250,-2.7300,0.8050
3298455,sitting,-0.0259,1.0009,0.0344,0.5250,-2.7300,0.7700
3298474,sitting,-0.0256,0.9999,0.0351,0.5250,-2.7300,0.7700
3298493,sitting,-0.0251,1.0002,0.0342,0.4900,-2.7300,0.7700
3298513,sitting,-0.0254,1.0006,0.0344,0.4550,-2.7300,0.7700
3298532,sitting,-0.0261,1.0002,0.0351,0.4550,-2.6950,0.8050
3298551,sitting,-0.0254,0.9999,0.0356,0.4900,-2.7300,0.8050
3298570,sitting,-0.0254,0.9999,0.0344,0.4900,-2.6950,0.8050
3298590,sitting,-0.0254,1.0006,0.0339,0.4550,-2.7300,0.7700
3298609,sitting,-0.0266,1.0002,0.0349,0.4900,-2.7300,0.7700
3298628,sitting,-0.0254,1.0011,0.0346,0.5250,-2.7300,0.8050
3298647,sitting,-0.0256,1.0004,0.0339,0.5250,-2.7300,0.8400
3298667,sitting,-0.0256,1.0011,0.0344,0.5250,-2.7300,0.8400
3298686,sitting,-0.0251,1.0011,0.0346,0.5250,-2.7300,0.7700
3298705,sitting,-0.0254,1.0011,0.0356,0.4900,-2.7300,0.7700
3298724,sitting,-0.0249,1.0004,0.0342,0.4900,-2.6950,0.7700
3298743,sitting,-0.0261,1.0004,0.0344,0.4900,-2.7300,0.7700
3298763,sitting,-0.0256,0.9999,0.0342,0.5250,-2.7300,0.7700
3298782,sitting,-0.0254,1.0002,0.0344,0.4900,-2.7300,0.8050
3298801,sitting,-0.0256,1.0006,0.0339,0.5600,-2.7300,0.8050
3298820,sitting,-0.0273,1.0004,0.0346,0.5250,-2.6950,0.8050
3298840,sitting,-0.0254,1.0009,0.0344,0.4900,-2.7300,0.8400
3298859,sitting,-0.0246,1.0002,0.0346,0.5250,-2.7300,0.8050
3298878,sitting,-0.0244,1.0002,0.0346,0.4900,-2.7300,0.7700
3298897,sitting,-0.0251,1.0004,0.0334,0.4550,-2.7300,0.7700
3298917,sitting,-0.0246,1.0002,0.0337,0.4900,-2.7300,0.7700
3298936,sitting,-0.0251,1.0002,0.0339,0.4900,-2.6950,0.7700
3298955,sitting,-0.0256,1.0011,0.0339,0.4900,-2.7300,0.7700
3298974,sitting,-0.0259,1.0006,0.0349,0.4900,-2.7300,0.7700
3298993,sitting,-0.0254,0.9999,0.0351,0.4900,-2.7300,0.7700
3299013,sitting,-0.0256,0.9999,0.0344,0.4900,-2.7300,0.8050
3299032,sitting,-0.0256,0.9999,0.0344,0.4900,-2.7300,0.7700
3299051,sitting,-0.0254,1.0006,0.0334,0.4900,-2.7300,0.8050
3299070,sitting,-0.0254,1.0011,0.0342,0.4550,-2.7300,0.8400
3299090,sitting,-0.0251,1.0006,0.0342,0.5250,-2.7300,0.8050
3299109,sitting,-0.0254,1.0004,0.0344,0.4900,-2.6950,0.8050
3299128,sitting,-0.0251,1.0002,0.0349,0.4900,-2.7300,0.8050
3299147,sitting,-0.0246,0.9999,0.0349,0.4900,-2.7300,0.8050
3299167,sitting,-0.0251,1.0002,0.0344,0.4900,-2.7650,0.8400
