timestamp_ms,label,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
62215844,sitting,-0.0083,-0.9992,0.0293,0.5600,-2.7650,0.7350
62215863,sitting,-0.0093,-0.9975,0.0295,0.5250,-2.8000,0.7700
62215882,sitting,-0.0093,-0.9980,0.0303,0.5600,-2.8000,0.7350
62215901,sitting,-0.0083,-0.9982,0.0312,0.5600,-2.7650,0.7700
62215921,sitting,-0.0093,-0.9997,0.0310,0.5600,-2.8000,0.8050
62215940,sitting,-0.0090,-0.9982,0.0305,0.5600,-2.7650,0.7700
62215959,sitting,-0.0093,-0.9980,0.0305,0.5600,-2.7650,0.7700
62215978,sitting,-0.0095,-0.9975,0.0305,0.4900,-2.7650,0.7700
62215998,sitting,-0.0095,-0.9982,0.0303,0.5600,-2.7300,0.7700
62216017,sitting,-0.0093,-0.9980,0.0307,0.5600,-2.7300,0.7700
62216036,sitting,-0.0090,-0.9984,0.0295,0.5600,-2.7650,0.7350
62216055,sitting,-0.0098,-0.9975,0.0305,0.5600,-2.7300,0.7700
62216075,sitting,-0.0088,-0.9984,0.0298,0.5600,-2.7650,0.7350
62216094,sitting,-0.0090,-0.9982,0.0295,0.5250,-2.8000,0.8050
62216113,sitting,-0.0090,-0.9987,0.0305,0.5600,-2.7300,0.7700
62216132,sitting,-0.0098,-0.9992,0.0298,0.5600,-2.7650,0.7700
62216151,sitting,-0.0090,-0.9982,0.0312,0.5600,-2.7300,0.7700
62216171,sitting,-0.0093,-0.9987,0.0300,0.5600,-2.7300,0.7700
62216190,sitting,-0.0095,-0.9984,0.0303,0.5600,-2.7300,0.7700
62216209,sitting,-0.0090,-0.9982,0.0312,0.5600,-2.7300,0.7350
62216228,sitting,-0.0085,-0.9980,0.0312,0.5250,-2.7300,0.7700
62216248,sitting,-0.0085,-0.9977,0.0300,0.5600,-2.7300,0.7700
62216267,sitting,-0.0088,-0.9984,0.0300,0.5600,-2.7300,0.7700
62216286,sitting,-0.0095,-0.9977,0.0312,0.5600,-2.7300,0.7700
62216305,sitting,-0.0090,-0.9982,0.0303,0.5600,-2.7650,0.7700
62216325,sitting,-0.0083,-0.9984,0.0300,0.5600,-2.7650,0.7700
62216344,sitting,-0.0093,-0.9980,0.0295,0.5600,-2.7300,0.7000
62216363,sitting,-0.0081,-0.9987,0.0295,0.5600,-2.7650,0.7700
62216382,sitting,-0.0088,-0.9987,0.0305,0.5250,-2.7650,0.7700
62216401,sitting,-0.0098,-0.9987,0.0298,0.5600,-2.7650,0.8050
62216421,sitting,-0.0085,-0.9980,0.0300,0.5950,-2.7650,0.7700
62216440,sitting,-0.0088,-0.9984,0.0303,0.5250,-2.7650,0.8050
62216459,sitting,-0.0093,-0.9980,0.0303,0.5600,-2.7650,0.7700
62216478,sitting,-0.0093,-0.9987,0.0300,0.5600,-2.7650,0.7700
62216498,sitting,-0.0095,-0.9989,0.0298,0.5250,-2.8000,0.7700
62216517,sitting,-0.0090,-0.9987,0.0305,0.5250,-2.7650,0.7700
62216536,sitting,-0.0088,-0.9980,0.0310,0.5600,-2.8000,0.7700
62216555,sitting,-0.0088,-0.9977,0.0300,0.5600,-2.7650,0.7700
62216575,sitting,-0.0088,-0.9992,0.0307,0.5600,-2.7300,0.7700
62216594,sitting,-0.0088,-0.9987,0.0298,0.5600,-2.7650,0.7700
62216613,sitting,-0.0085,-0.9980,0.0305,0.5600,-2.7300,0.7700
62216632,sitting,-0.0088,-0.9980,0.0298,0.5600,-2.7300,0.8050
62216651,sitting,-0.0085,-0.9989,0.0303,0.5600,-2.7300,0.7700
62216671,sitting,-0.0093,-0.9975,0.0303,0.5600,-2.7300,0.7700
62216690,sitting,-0.0095,-0.9992,0.0303,0.5600,-2.7300,0.7700
62216709,sitting,-0.0105,-0.9989,0.0300,0.5600,-2.7300,0.7700
62216728,sitting,-0.0095,-0.9980,0.0307,0.5950,-2.7300,0.7700
62216748,sitting,-0.0085,-0.9982,0.0300,0.5600,-2.7300,0.7700
62216767,sitting,-0.0090,-0.9982,0.0303,0.5250,-2.7300,0.7700
62216786,sitting,-0.0090,-0.9984,0.0305,0.5250,-2.7300,0.7700
62216805,sitting,-0.0095,-0.9980,0.0310,0.5600,-2.7300,0.7350
62216825,sitting,-0.0095,-0.9987,0.0303,0.5600,-2.7650,0.7350
62216844,sitting,-0.0088,-0.9987,0.0298,0.5250,-2.7650,0.7700
62216863,sitting,-0.0095,-0.9984,0.0298,0.5600,-2.7300,0.7700
62216882,sitting,-0.0090,-0.9982,0.0307,0.5600,-2.8000,0.7350
62216901,sitting,-0.0095,-0.9984,0.0303,0.5600,-2.7300,0.7700
62216921,sitting,-0.0085,-0.9980,0.0310,0.5600,-2.7300,0.8050
62216940,sitting,-0.0085,-0.9987,0.0303,0.5600,-2.8000,0.7700
62216959,sitting,-0.0085,-0.9987,0.0317,0.5250,-2.8000,0.7700
62216978,sitting,-0.0090,-0.9975,0.0298,0.5600,-2.7300,0.7700
62216998,sitting,-0.0093,-0.9984,0.0305,0.5250,-2.7650,0.8050
62217017,sitting,-0.0093,-0.9984,0.0300,0.5600,-2.7650,0.7700
62217036,sitting,-0.0095,-0.9975,0.0307,0.5600,-2.7650,0.7700
62217055,sitting,-0.0093,-0.9989,0.0305,0.5600,-2.7300,0.8400
62217075,sitting,-0.0088,-0.9987,0.0303,0.5600,-2.7650,0.7700
62217094,sitting,-0.0083,-0.9977,0.0293,0.5600,-2.7650,0.8050
62217113,sitting,-0.0090,-0.9977,0.0300,0.5600,-2.7300,0.7700
62217132,sitting,-0.0100,-0.9980,0.0315,0.5250,-2.7650,0.7700
62217151,sitting,-0.0088,-0.9984,0.0307,0.5250,-2.7300,0.7700
62217171,sitting,-0.0093,-0.9977,0.0303,0.5600,-2.7650,0.7700
62217190,sitting,-0.0085,-0.9980,0.0310,0.5600,-2.7300,0.7700
62217209,sitting,-0.0093,-0.9980,0.0312,0.5600,-2.7650,0.7700
62217228,sitting,-0.0090,-0.9982,0.0310,0.5250,-2.7300,0.7700
62217248,sitting,-0.0098,-0.9980,0.0315,0.5600,-2.7300,0.7700
62217267,sitting,-0.0090,-0.9980,0.0303,0.5600,-2.7650,0.7350
62217286,sitting,-0.0083,-0.9982,0.0298,0.5600,-2.7650,0.7700
62217305,sitting,-0.0090,-0.9977,0.0315,0.5600,-2.7650,0.7700
62217325,sitting,-0.0093,-0.9980,0.0315,0.5600,-2.7300,0.7700
62217344,sitting,-0.0088,-0.9982,0.0298,0.4900,-2.7650,0.7700
62217363,sitting,-0.0090,-0.9982,0.0317,0.5250,-2.7300,0.7700
62217382,sitting,-0.0088,-0.9977,0.0305,0.5600,-2.7650,0.7700
62217401,sitting,-0.0090,-0.9982,0.0305,0.5600,-2.7650,0.7700
62217421,sitting,-0.0100,-0.9982,0.0312,0.5600,-2.8000,0.7700
62217440,sitting,-0.0090,-0.9977,0.0305,0.5250,-2.7300,0.7700
62217459,sitting,-0.0085,-0.9984,0.0293,0.5600,-2.8000,0.7700
62217478,sitting,-0.0083,-0.9977,0.0303,0.5600,-2.8000,0.7700
62217498,sitting,-0.0088,-0.9977,0.0307,0.5600,-2.7650,0.8400
62217517,sitting,-0.0090,-0.9987,0.0307,0.5250,-2.7300,0.7700
62217536,sitting,-0.0102,-0.9977,0.0298,0.5950,-2.7650,0.7700
62217555,sitting,-0.0098,-0.9989,0.0310,0.5250,-2.7650,0.7700
62217575,sitting,-0.0081,-0.9975,0.0307,0.5600,-2.7300,0.7700
62217594,sitting,-0.0090,-0.9984,0.0303,0.5250,-2.8000,0.7700
62217613,sitting,-0.0090,-0.9977,0.0303,0.5250,-2.7650,0.7700
62217632,sitting,-0.0090,-0.9984,0.0305,0.5600,-2.7650,0.7700
62217651,sitting,-0.0098,-0.9982,0.0305,0.5600,-2.7300,0.7700
62217671,sitting,-0.0090,-0.9987,0.0298,0.5600,-2.7650,0.7700
62217690,sitting,-0.0090,-0.9975,0.0303,0.5600,-2.7650,0.8050
62217709,sitting,-0.0100,-0.9987,0.0305,0.5950,-2.7300,0.8050
62217728,sitting,-0.0090,-0.9977,0.0315,0.5600,-2.7300,0.7700
62217748,sitting,-0.0088,-0.9982,0.0307,0.5600,-2.7650,0.7350
62217767,sitting,-0.0088,-0.9989,0.0312,0.5250,-2.8000,0.7700
62217786,sitting,-0.0093,-0.9977,0.0298,0.5600,-2.8000,0.7350
62217805,sitting,-0.0088,-0.9982,0.0307,0.5600,-2.7300,0.7350
62217825,sitting,-0.0085,-0.9984,0.0307,0.5600,-2.7650,0.7700
62217844,sitting,-0.0095,-0.9992,0.0310,0.5250,-2.7300,0.7350
62217863,sitting,-0.0085,-0.9984,0.0305,0.5250,-2.7300,0.7350
62217882,sitting,-0.0085,-0.9989,0.0303,0.5600,-2.7650,0.7700
62217901,sitting,-0.0095,-0.9980,0.0307,0.5250,-2.7300,0.7700
62217921,sitting,-0.0100,-0.9984,0.0305,0.5600,-2.7300,0.7700
62217940,sitting,-0.0095,-0.9982,0.0307,0.5600,-2.7650,0.7700
62217959,sitting,-0.0100,-0.9984,0.0303,0.5600,-2.8000,0.7700
62217978,sitting,-0.0093,-0.9982,0.0305,0.5250,-2.7650,0.7700
62217998,sitting,-0.0090,-0.9984,0.0307,0.5250,-2.7650,0.7700
62218017,sitting,-0.0090,-0.9982,0.0300,0.5250,-2.7300,0.7350
62218036,sitting,-0.0085,-0.9982,0.0307,0.5600,-2.8000,0.7700
62218055,sitting,-0.0095,-0.9975,0.0310,0.5600,-2.7300,0.7700
62218075,sitting,-0.0093,-0.9984,0.0317,0.5600,-2.7300,0.7700
62218094,sitting,-0.0078,-0.9980,0.0300,0.5600,-2.7300,0.7700
62218113,sitting,-0.0081,-0.9989,0.0305,0.5600,-2.7300,0.7700
62218132,sitting,-0.0098,-0.9982,0.0305,0.5250,-2.7300,0.7700
62218151,sitting,-0.0093,-0.9989,0.0305,0.5250,-2.7300,0.7700
62218171,sitting,-0.0090,-0.9992,0.0307,0.5950,-2.7300,0.7700
62218190,sitting,-0.0098,-0.9977,0.0307,0.5600,-2.7300,0.8050
62218209,sitting,-0.0090,-0.9980,0.0307,0.5600,-2.7300,0.7700
62218228,sitting,-0.0095,-0.9982,0.0310,0.5600,-2.7300,0.7700
62218248,sitting,-0.0090,-0.9984,0.0300,0.5600,-2.7300,0.7700
62218267,sitting,-0.0083,-0.9984,0.0307,0.5600,-2.7650,0.7700
62218286,sitting,-0.0076,-0.9980,0.0310,0.5600,-2.7300,0.7350
62218305,sitting,-0.0090,-0.9984,0.0307,0.5600,-2.7650,0.7700
62218325,sitting,-0.0095,-0.9984,0.0303,0.5600,-2.7300,0.7700
62218344,sitting,-0.0085,-0.9977,0.0303,0.5600,-2.7300,0.7350
62218363,sitting,-0.0088,-0.9984,0.0305,0.5600,-2.7300,0.7700
62218382,sitting,-0.0085,-0.9982,0.0303,0.5600,-2.8000,0.7700
62218401,sitting,-0.0098,-0.9989,0.0295,0.5600,-2.7650,0.7700
62218421,sitting,-0.0090,-0.9980,0.0300,0.5250,-2.7650,0.7700
62218440,sitting,-0.0098,-0.9977,0.0307,0.5250,-2.8000,0.7700
62218459,sitting,-0.0085,-0.9989,0.0317,0.5600,-2.8000,0.7700
62218478,sitting,-0.0090,-0.9987,0.0303,0.5600,-2.7300,0.7700
62218498,sitting,-0.0085,-0.9989,0.0312,0.5600,-2.7300,0.7350
62218517,sitting,-0.0095,-0.9965,0.0307,0.5600,-2.7650,0.7700
62218536,sitting,-0.0083,-0.9967,0.0305,0.5600,-2.7300,0.7700
62218555,sitting,-0.0083,-0.9975,0.0310,0.5600,-2.7650,0.8050
62218575,sitting,-0.0090,-0.9989,0.0317,0.5250,-2.7300,0.7700
62218594,sitting,-0.0088,-0.9977,0.0312,0.5250,-2.7300,0.7700
62218613,sitting,-0.0093,-0.9984,0.0295,0.5600,-2.7650,0.7700
62218632,sitting,-0.0095,-0.9984,0.0307,0.5600,-2.8000,0.7700
62218651,sitting,-0.0095,-0.9982,0.0300,0.5600,-2.7300,0.7700
62218671,sitting,-0.0088,-0.9987,0.0305,0.5600,-2.8000,0.8050
62218690,sitting,-0.0088,-0.9982,0.0303,0.5600,-2.7300,0.8400
62218709,sitting,-0.0100,-0.9984,0.0300,0.5250,-2.7300,0.8050
62218728,sitting,-0.0090,-0.9977,0.0293,0.5950,-2.7300,0.7700
62218748,sitting,-0.0081,-0.9977,0.0295,0.5600,-2.8000,0.7700
62218767,sitting,-0.0085,-0.9987,0.0312,0.5600,-2.7300,0.7700
62218786,sitting,-0.0088,-0.9987,0.0312,0.5600,-2.8000,0.7350
62218805,sitting,-0.0081,-0.9987,0.0303,0.5600,-2.7300,0.7700
62218825,sitting,-0.0093,-0.9992,0.0300,0.5600,-2.7300,0.7700
62218844,sitting,-0.0090,-0.9984,0.0310,0.5250,-2.7300,0.7700
62218863,sitting,-0.0088,-0.9977,0.0303,0.5600,-2.8000,0.7700
62218882,sitting,-0.0090,-0.9984,0.0303,0.5600,-2.7300,0.7700
62218901,sitting,-0.0085,-0.9984,0.0300,0.5600,-2.7650,0.7700
62218921,sitting,-0.0093,-0.9980,0.0315,0.5600,-2.7650,0.7350
62218940,sitting,-0.0093,-0.9982,0.0317,0.5600,-2.7300,0.7700
62218959,sitting,-0.0088,-0.9987,0.0305,0.5250,-2.7300,0.7700
62218978,sitting,-0.0081,-0.9980,0.0303,0.5600,-2.7300,0.8050
62218998,sitting,-0.0085,-0.9984,0.0315,0.5600,-2.7650,0.7700
62219017,sitting,-0.0090,-0.9980,0.0317,0.5250,-2.7650,0.7700
62219036,sitting,-0.0085,-0.9977,0.0305,0.5250,-2.8000,0.7700
62219055,sitting,-0.0102,-0.9984,0.0300,0.4900,-2.7650,0.8050
62219075,sitting,-0.0095,-0.9984,0.0307,0.5600,-2.7300,0.7700
62219094,sitting,-0.0107,-0.9984,0.0300,0.5600,-2.7300,0.7350
62219113,sitting,-0.0098,-0.9984,0.0300,0.5600,-2.7300,0.7700
62219132,sitting,-0.0093,-0.9984,0.0307,0.5600,-2.7300,0.7700
62219151,sitting,-0.0095,-0.9984,0.0305,0.5600,-2.7300,0.7700
62219171,sitting,-0.0095,-0.9982,0.0303,0.5600,-2.7650,0.7700
62219190,sitting,-0.0100,-0.9987,0.0300,0.5950,-2.7650,0.7700
62219209,sitting,-0.0090,-0.9989,0.0303,0.5600,-2.7300,0.7700
