timestamp_ms,label,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps
61994926,sitting,-0.0388,-0.9994,0.0100,0.8750,-3.5700,-0.1400
61994945,sitting,-0.0388,-0.9989,0.0102,0.8400,-3.5700,-0.0700
61994964,sitting,-0.0386,-0.9984,0.0098,0.8750,-3.5350,-0.0700
61994983,sitting,-0.0395,-0.9987,0.0100,0.8400,-3.5350,-0.0700
61995003,sitting,-0.0381,-0.9975,0.0098,0.8750,-3.5350,-0.1050
61995022,sitting,-0.0390,-0.9987,0.0102,0.8050,-3.5000,-0.0700
61995041,sitting,-0.0395,-0.9972,0.0098,0.8400,-3.5000,-0.0350
61995060,sitting,-0.0395,-0.9982,0.0102,0.9100,-3.5350,-0.1050
61995080,sitting,-0.0398,-0.9984,0.0105,0.8050,-3.5350,-0.0700
61995099,sitting,-0.0407,-0.9977,0.0102,0.8400,-3.4650,-0.0350
61995118,sitting,-0.0390,-0.9975,0.0090,0.8750,-3.5350,-0.0350
61995137,sitting,-0.0395,-0.9982,0.0098,0.8400,-3.5350,-0.0700
61995157,sitting,-0.0393,-0.9972,0.0110,0.8750,-3.5350,-0.0700
61995176,sitting,-0.0388,-0.9980,0.0102,0.8750,-3.5350,-0.0700
61995195,sitting,-0.0386,-0.9980,0.0110,0.9100,-3.5350,-0.0350
61995214,sitting,-0.0393,-0.9977,0.0107,0.8750,-3.5700,-0.0350
61995233,sitting,-0.0400,-0.9977,0.0100,0.8750,-3.5350,-0.1050
61995253,sitting,-0.0381,-0.9982,0.0102,0.9100,-3.5000,-0.0700
61995272,sitting,-0.0390,-0.9982,0.0102,0.8750,-3.5700,-0.1050
61995291,sitting,-0.0390,-0.9987,0.0098,0.8400,-3.5700,-0.1050
61995310,sitting,-0.0390,-0.9982,0.0098,0.8400,-3.5000,-0.1050
61995330,sitting,-0.0400,-0.9977,0.0102,0.8750,-3.5700,-0.0700
61995349,sitting,-0.0383,-0.9984,0.0100,0.8050,-3.5350,-0.0700
61995368,sitting,-0.0393,-0.9982,0.0100,0.8400,-3.5350,-0.0700
61995387,sitting,-0.0393,-0.9980,0.0098,0.8750,-3.5350,-0.0700
61995407,sitting,-0.0386,-0.9984,0.0105,0.8400,-3.5000,-0.1050
61995426,sitting,-0.0395,-0.9984,0.0105,0.8750,-3.5000,-0.0700
61995445,sitting,-0.0403,-0.9972,0.0093,0.8400,-3.5350,-0.1050
61995464,sitting,-0.0383,-0.9982,0.0100,0.8050,-3.5350,-0.0700
61995483,sitting,-0.0388,-0.9984,0.0098,0.8050,-3.5000,-0.0350
61995503,sitting,-0.0386,-0.9982,0.0100,0.8050,-3.5350,-0.0700
61995522,sitting,-0.0390,-0.9987,0.0102,0.8750,-3.5350,-0.0700
61995541,sitting,-0.0383,-0.9984,0.0102,0.8050,-3.4650,-0.0700
61995560,sitting,-0.0386,-0.9984,0.0112,0.9100,-3.5350,-0.0700
61995580,sitting,-0.0386,-0.9984,0.0110,0.9100,-3.5350,-0.0700
61995599,sitting,-0.0395,-0.9987,0.0100,0.8400,-3.5350,-0.1050
61995618,sitting,-0.0390,-0.9977,0.0095,0.8400,-3.5350,-0.0700
61995637,sitting,-0.0388,-0.9980,0.0100,0.8400,-3.5700,-0.0700
61995657,sitting,-0.0390,-0.9980,0.0100,0.8400,-3.5000,-0.1400
61995676,sitting,-0.0393,-0.9984,0.0095,0.8400,-3.5000,-0.1050
61995695,sitting,-0.0386,-0.9975,0.0088,0.8400,-3.5700,-0.0700
61995714,sitting,-0.0383,-0.9989,0.0088,0.8400,-3.5000,-0.0700
61995733,sitting,-0.0393,-0.9982,0.0105,0.8050,-3.5000,-0.1400
61995753,sitting,-0.0395,-0.9977,0.0095,0.9100,-3.5000,-0.0700
61995772,sitting,-0.0390,-0.9982,0.0100,0.8750,-3.5000,-0.1050
61995791,sitting,-0.0390,-0.9980,0.0100,0.8400,-3.5000,-0.1050
61995810,sitting,-0.0393,-0.9980,0.0102,0.8400,-3.5000,-0.0700
61995830,sitting,-0.0388,-0.9977,0.0110,0.8400,-3.5350,-0.0700
61995849,sitting,-0.0398,-0.9989,0.0105,0.8400,-3.5350,-0.0700
61995868,sitting,-0.0398,-0.9989,0.0093,0.8400,-3.5350,-0.0700
61995887,sitting,-0.0398,-0.9987,0.0100,0.8750,-3.5350,-0.0700
61995907,sitting,-0.0400,-0.9982,0.0090,0.8400,-3.5000,-0.0700
61995926,sitting,-0.0390,-0.9980,0.0090,0.8400,-3.5350,-0.0700
61995945,sitting,-0.0395,-0.9982,0.0098,0.8400,-3.5000,-0.0700
61995964,sitting,-0.0390,-0.9987,0.0090,0.8750,-3.5700,-0.0700
61995983,sitting,-0.0395,-0.9984,0.0102,0.8400,-3.5700,-0.0700
61996003,sitting,-0.0405,-0.9987,0.0095,0.8750,-3.5700,-0.0700
61996022,sitting,-0.0386,-0.9987,0.0102,0.8400,-3.5700,-0.1050
61996041,sitting,-0.0398,-0.9982,0.0110,0.8400,-3.5350,-0.0350
61996060,sitting,-0.0393,-0.9984,0.0100,0.8750,-3.5000,-0.0700
61996080,sitting,-0.0400,-0.9980,0.0102,0.8750,-3.5350,-0.0700
61996099,sitting,-0.0395,-0.9982,0.0098,0.8400,-3.5350,-0.0700
61996118,sitting,-0.0393,-0.9980,0.0105,0.8050,-3.5000,-0.0700
61996137,sitting,-0.0393,-0.9989,0.0102,0.8400,-3.5350,-0.0700
61996157,sitting,-0.0393,-0.9984,0.0095,0.8400,-3.5350,-0.1400
61996176,sitting,-0.0398,-0.9987,0.0102,0.8050,-3.4650,-0.0700
61996195,sitting,-0.0395,-0.9975,0.0115,0.8050,-3.5700,-0.0700
61996214,sitting,-0.0388,-0.9980,0.0098,0.8400,-3.5700,-0.1050
61996233,sitting,-0.0390,-0.9987,0.0095,0.8400,-3.5000,-0.0700
61996253,sitting,-0.0395,-0.9982,0.0107,0.8400,-3.5700,-0.0700
61996272,sitting,-0.0395,-0.9989,0.0098,0.8750,-3.5700,0.0000
61996291,sitting,-0.0395,-0.9989,0.0100,0.9100,-3.5000,-0.0350
61996310,sitting,-0.0403,-0.9987,0.0102,0.8400,-3.5000,-0.0700
61996330,sitting,-0.0405,-0.9984,0.0098,0.8400,-3.5000,-0.0700
61996349,sitting,-0.0400,-0.9989,0.0105,0.8750,-3.5000,-0.1050
61996368,sitting,-0.0386,-0.9989,0.0100,0.8400,-3.5700,-0.0700
61996387,sitting,-0.0386,-0.9982,0.0095,0.8750,-3.5700,-0.0700
61996407,sitting,-0.0393,-0.9989,0.0095,0.8400,-3.5700,-0.0350
61996426,sitting,-0.0393,-0.9980,0.0095,0.8400,-3.5350,-0.0700
61996445,sitting,-0.0393,-0.9994,0.0105,0.8750,-3.5350,-0.0700
61996464,sitting,-0.0393,-0.9982,0.0102,0.8400,-3.5350,-0.1050
