relative_path,file,device_id,device_identity,placement,body_side,label,raw_label,paired_session_id,session_id,started_at_epoch_ms,rows,duration_s,effective_hz,size_bytes,crc32,sidecar_size_bytes,sidecar_crc32,metadata_status,included,exclusion_reason,correction,issues
xiao_18ee26a8/day1/cycling/18ee26a8_cycling_14.csv,18ee26a8_cycling_14.csv,18EE26A8,95D112A518EE26A8,leg,left,cycling,cycling,340aaf5e-606d-4a3f-bf5b-5242409f2b24,af26bfb5-2bb2-4db9-97cb-5afddd2cbc22,1787337928360,24610,473.250,52.000000,1572872,B947EFA7,1572872,B947EFA7,verified,true,,,
xiao_18ee26a8/day1/cycling/18ee26a8_cycling_15.csv,18ee26a8_cycling_15.csv,18EE26A8,95D112A518EE26A8,leg,left,cycling,cycling,340aaf5e-606d-4a3f-bf5b-5242409f2b24,af26bfb5-2bb2-4db9-97cb-5afddd2cbc22,1787337928360,15163,291.577,51.999986,972526,5FED42A2,972526,5FED42A2,verified,true,,,
xiao_18ee26a8/day1/cycling/18ee26a8_cycling_16.csv,18ee26a8_cycling_16.csv,18EE26A8,95D112A518EE26A8,leg,left,cycling,cycling,35146bd6-5791-4d28-b31c-7dec8507c4e4,3bc2dbe0-f0fe-4249-9fea-2955cde9c928,1787338915758,22413,431.000,52.000000,1440656,2A1FE242,1440656,2A1FE242,verified,true,,,
xiao_18ee26a8/day1/cycling/18ee26a8_cycling_17.csv,18ee26a8_cycling_17.csv,18EE26A8,95D112A518EE26A8,leg,left,cycling,cycling,35146bd6-5791-4d28-b31c-7dec8507c4e4,3bc2dbe0-f0fe-4249-9fea-2955cde9c928,1787338915758,17403,334.654,51.999976,1110616,7C3B9861,1110616,7C3B9861,verified,true,,,
xiao_18ee26a8/day1/running/18ee26a8_running_12.csv,18ee26a8_running_12.csv,18EE26A8,95D112A518EE26A8,leg,left,running,running,d943c143-f514-4c2c-ab0c-117c05315a4b,b36a820f-6408-4976-81d6-49e09c95cc54,1787335450905,23566,453.173,52.000009,1572910,BF6AE219,1572910,BF6AE219,verified,true,,,
xiao_18ee26a8/day1/running/18ee26a8_running_13.csv,18ee26a8_running_13.csv,18EE26A8,95D112A518EE26A8,leg,left,running,running,d943c143-f514-4c2c-ab0c-117c05315a4b,b36a820f-6408-4976-81d6-49e09c95cc54,1787335450905,310,5.942,52.002693,19603,D8DF05E8,19603,D8DF05E8,verified,false,Technical tail: about 5.9 seconds and mostly session ending/low motion.,,
xiao_18ee26a8/day2/cycling/18ee26a8_cycling_25.csv,18ee26a8_cycling_25.csv,18EE26A8,95D112A518EE26A8,leg,left,cycling,cycling,8fac3afb-1540-43f4-a2c4-3a0d1a888cd5,f4e75d98-0c06-4eee-aa27-c5b4848afb54,1787417618986,24242,466.173,52.000009,1572900,5C2DCC83,1572900,5C2DCC83,verified,true,,,
xiao_18ee26a8/day2/cycling/18ee26a8_cycling_26.csv,18ee26a8_cycling_26.csv,18EE26A8,95D112A518EE26A8,leg,left,cycling,cycling,8fac3afb-1540-43f4-a2c4-3a0d1a888cd5,f4e75d98-0c06-4eee-aa27-c5b4848afb54,1787417618986,4506,86.634,52.000369,290122,6F5D7E84,290122,6F5D7E84,verified,true,,,
xiao_18ee26a8/day2/running/18ee26a8_running_18.csv,18ee26a8_running_18.csv,18EE26A8,95D112A518EE26A8,leg,left,running,running,c7c08fc7-855b-40f9-8a7d-1e5bd5f2a3dc,e42a547b-3a94-44e0-b808-976ab3f0035d,1787414579774,11278,216.865,52.000092,751045,D590C6AA,751045,D590C6AA,verified,true,,,
xiao_18ee26a8/day2/running/18ee26a8_running_21.csv,18ee26a8_running_21.csv,18EE26A8,95D112A518EE26A8,leg,left,running,running,a041fcd0-61a5-42a5-8666-ec95b17e47c7,4d68e63a-f197-4dde-876d-13ba7b5fb70d,1787415620220,14835,285.269,52.000042,990101,07D76244,990101,07D76244,verified,true,,,
xiao_18ee26a8/day2/running/18ee26a8_running_22.csv,18ee26a8_running_22.csv,18EE26A8,95D112A518EE26A8,leg,left,running,running,8776e8a8-1867-4b99-b6f4-5b7f9df630d3,d1d14fb5-9562-491a-adf2-a57a95670428,1787416918191,9877,189.923,52.000021,658507,8A9ABE38,658507,8A9ABE38,verified,true,,,
xiao_18ee26a8/day2/running/18ee26a8_running_23.csv,18ee26a8_running_23.csv,18EE26A8,95D112A518EE26A8,leg,left,running,running,9d5028f8-33f6-4634-b2c3-589e2aaa4b6c,f1361035-6003-4796-8f06-f7430e610f70,1787417158500,75,1.423,52.002811,4877,9DE681DC,4877,9DE681DC,verified,false,Technical tail: about 1.4 seconds.,,
xiao_18ee26a8/day2/running/18ee26a8_running_24.csv,18ee26a8_running_24.csv,18EE26A8,95D112A518EE26A8,leg,left,running,running,a553f12b-bc8a-4b20-8a23-16583ff8ee46,d1875597-7797-42f4-9d31-f4ed1adf35d8,1787417209241,6478,124.557,52.000289,431568,073F4865,431568,073F4865,verified,true,,,
